"Comunidad","Reserva","Control","RC"
"El Rosario","La Caracolera","Lazaro","La Caracolera-Lazaro"
"El Rosario","SportFish","Piedra Vidal","SportFish-Piedra Vidal"
"Maria Elena","El Gallinero","El Callienro Control","El Gallinero-El Callienro Control"
"Maria Elena","El Cabezo","El Cabezo Control","El Cabezo-El Cabezo Control"
"Puerto Libertad","Cerro Bola","Cerro Bola control","Cerro Bola-Cerro Bola control"
"Puerto Libertad","Cerro Bola II","Cerro Bola Control II","Cerro Bola II-Cerro Bola Control II"
